year,africa,americas,asia,europe,oceania
1950,228,340,1394,220,12
1960,284,425,1686,253,15
1970,365,519,2120,276,19
1980,477,619,2625,295,22
1990,631,727,3202,310,26
2000,814,840,3714,303,31
2010,1044,943,4169,294,36
2018,1275,1006,4560,293,39
